Column A,Column B
142105,59056652
142106,13048843
142107,26673341
142108,27785400
142109,98591146
142110,68890907
142111,90365631
142112,42675602
142112,27988838
142113,45817565
142114,53638058
142115,99746887
142116,28721288
142117,63134493
142118,10102403
142119,37451667
142120,13441728
142121,20385468
142122,33391003
142123,15047943
142124,41674274
142125,76718680
142126,32335311
142127,4744742
142128,31876101
142128,98929888
142128,63204599
142129,86701274
142130,45031988
142131,27875934
142132,41789780
142133,91119779
142134,55685081
142135,62155411
142136,39854598
142137,64548205
142138,97892337
142139,22784701
142140,7207199
142141,8589796
142142,31598303
142143,85513314
142144,70888344
142144,40646843
142145,26616477
142145,62679950
142146,48688212
142147,6160233
142148,4664743
142149,85932504
142150,61593390
142151,7913411
142152,22783177
142153,30824978
142154,58911660
142155,45978023
142156,81339792
142157,23324340
142158,13052235
142159,45197947
142160,25316024
142161,48240294
142162,24132914
142163,73194559
142164,1580367
142165,43238891
142166,64078183
142167,16712311
142168,45243587
142169,41428809
142170,64677017
142171,89050834
142172,77762781
142173,24118349
142174,87985167
142175,34771739
142176,64569325
142177,48347480
142178,66909516
142179,96040653
142180,9717887
142181,55612207
142182,25773169
142183,91474341
142184,82679281
142185,33430382
142186,61157529
142187,62008710
142188,79087683
142189,40248335
142190,1064309
142191,33449477
142192,64185493
142192,77630941
142193,22462255
142194,5147767
142195,91808276
142196,42429486
142197,29060451
142198,15041175
142199,50543713
142200,5572629
142201,77679533
142202,96609697
142203,47008875
142204,25211680
142205,56312881
142206,92675668
142207,1346217
142208,40064766
142209,90274437
142210,72931486
142211,75907332
142212,34254449
142213,99744687
142214,74844955
142215,34093009
142216,13717027
142217,69468936
142218,35914929
142219,24982517
142220,2306800
142221,72332172
142222,28421552
142223,42419961
142224,72793600
142225,76608683
142226,98929118
142227,76664373
142228,6565951
142229,55741681
142230,99291570
142230,68042033
142231,35567511
142232,51666838
142233,72314865
142234,52591624
142235,37312159
142236,51234000
142237,38860396
142238,94635041
142239,4467034
142240,11558690
142241,67904155
142242,66142869
142243,37632729
142244,27646578
142245,29566461
142246,729463
142247,44384410
142248,39078643
142249,26136696
142250,56349688
142251,76951261
142252,22806326
142253,15925072
142254,98292244
142255,86783069
142256,38802917
142257,1313877
142258,23030382
142259,33312509
Order ID,78848136
142260,88319032
142261,65837281
142261,29755048
142262,60992739
142263,4715862
142264,22976670
142265,5214467
142266,36280531
142267,66859910
142268,95531552
142269,26073526
142270,14599998
142271,61550286
142272,5947539
142273,82179642
142274,90399099
142275,99390436
142276,51952215
142277,6750216
142278,96320097
142279,54073210
142280,26399813
142281,7965021
142282,3974627
142283,57319645
142284,41847019
142285,78076151
142286,82873627
Order ID,54997963
142287,54500542
142287,22060349
142287,62678965
142288,7673267
142289,54323926
142290,67259913
142291,56409413
142292,96937834
142293,70018157
142294,78700071
142295,65298934
142296,52155330
142297,90729941
142298,80880290
142299,15519258
142299,13911896
142300,49536299
142301,86461123
142302,4766687
142303,76910479
142304,5685239
142305,72293474
142306,96387767
142307,4794648
142308,25657745
142308,57481465
142309,39366075
142310,49790486
142311,80776891
142312,89528334
142313,4848983
142314,47254697
142315,24486069
142316,35330758
142317,64617455
142318,92834853
142319,60332832
142319,55709682
142320,16263606
142320,60651231
142321,23256004
142322,8019808
142323,10960039
142324,35894099
142325,65286017
142326,85118480
142327,66943278
142328,83054933
142329,67059454
142330,46278731
142331,85570780
142332,92945285
142333,99696307
142334,63647916
142335,86268416
142336,71553791
142337,19512906
142338,35791586
142339,2584111
142340,90191995
142341,27096477
142342,62641728
142343,4447626
142344,81833273
142345,46530037
142346,82038278
142347,14556673
142348,24290474
142349,98644399
142350,62205410
142350,45654826
142351,98435919
142352,79985316
142353,57718110
142354,87773100
142355,85051208
142356,12185502
142357,6500075
142358,12108819
142359,42284597
142360,97148646
142361,15261257
142362,60776994
142363,37841569
142364,3883224
142365,93960475
142366,87768334
142367,25501903
142368,81122617
142369,491331
142370,14005604
Order ID,46617261
142371,89955151
142372,95329562
142373,88470352
142374,83898944
142375,51560500
142376,90242704
142377,4511210
142378,21458522
142379,4501099
142379,99923411
142380,34026916
142381,72686868
142382,37423438
142383,35975237
142384,99871435
142385,89088403
142386,59117418
142387,89984808
142388,47418545
142389,61418636
142389,7409742
142390,13716940
142391,35201657
142392,23920991
142393,60897447
142394,25607767
142395,75152412
142396,58360485
142396,36245562
142397,35305271
142398,96761230
142399,35193436
142400,61780899
142401,52542374
142402,21036825
142403,83377095
142404,87927673
142405,71366055
142406,5833648
142407,96742515
142408,77186405
142409,66996262
142410,93875239
142411,3352994
142412,50128475
142413,83633710
142414,73249563
142415,28681428
142416,65486883
142417,51681986
142418,26820703
142419,83750598
142419,57966459
142420,27384373
142421,49000880
142422,78294572
142423,41905888
142424,41675458
142425,50729845
142426,85783854
142427,68781362
142428,37651612
142429,85565955
142430,92458744
142431,2990351
142432,88184007
142433,49773277
142434,6356333
142435,90863000
142436,12942464
142437,63862213
142438,71179812
142439,80028189
142440,25579570
142441,50333002
142442,69815755
142443,59447479
142444,70131030
142445,95190300
142446,57467038
142447,59546946
142448,52962146
142449,59619715
142450,27028290
142451,97279799
142452,75142888
142453,5176698
142453,16911585
142454,76236215
142455,14032107
142456,67562642
142457,20592530
142458,57821202
142459,44080531
142460,65660669
142461,15352224
142462,16798183
142463,99744189
142464,23944661
142465,97892607
142466,39335915
142467,19482774
142468,45143714
142469,19005469
"
",61443255
142470,76617539
142471,64530935
142472,58240573
142473,15278261
142474,54102003
142475,31971545
142476,32703324
142477,2215982
142478,5822122
142479,16547612
142480,56253280
142481,62280855
142482,18312095
142483,94765204
142484,71264365
142485,96104272
142486,88071990
142487,6527079
142488,39168045
142489,63220401
142490,85668576
142491,80698447
142492,5354308
142493,6914643
142494,21323223
142495,58863350
142496,55314879
142497,68898672
142498,61899548
142499,19365424
142500,69263574
142501,9415095
142502,25786136
142503,99303515
142504,85463572
142504,8041896
142505,64590967
142506,64040912
142507,35244566
142508,54754950
142509,95437161
142510,73361254
142511,81639879
142512,58353927
142513,97731992
142514,39687014
142515,66600016
142516,3185388
142517,12746938
142518,26846575
142519,12977936
142520,73156966
142521,95017883
142522,6194392
142523,9413151
142524,43537539
142525,48742675
142526,93899638
142527,92993084
142528,8758545
142529,58673258
142530,24445158
142531,43350540
142532,63785629
142533,17616349
142534,73830218
142535,8560545
142536,75827332
142537,12186413
142538,30628371
142539,75551627
142540,38784059
142541,43212229
142542,60112638
142543,77835496
142544,78864941
142545,86449570
142546,77488058
142547,37322505
142548,56461529
142549,80621423
142550,57529384
142551,63065843
142552,95520904
142553,19970596
142554,23363598
142555,45261628
142556,54349390
142557,90452981
142558,241400
142559,82581948
142560,52933427
142561,34361253
142562,57027996
142563,8533289
142564,63962151
142565,89747413
142566,12891219
142567,53629128
142568,8461601
142569,3643358
142569,22986838
142570,10710638
142570,71135472
142571,96664993
142572,92717665
142573,71661782
142574,49748140
142575,75322524
142576,70529373
142577,83905566
142578,81096372
142579,38002987
142580,88959466
142581,10286343
142582,32097670
142583,50239508
142584,79474218
142585,60159749
142586,38786808
142587,14073857
142587,42926548
142588,88627561
142589,82124058
142590,92958122
142591,4128302
142592,41934545
142593,98801537
142594,91541422
142595,95684259
142596,54821789
142597,18345499
142598,13398996
142599,79360608
142600,41825042
142601,45804043
142602,43305808
142603,96013777
142604,37542451
142604,3922914
142605,41190966
142606,13571032
142607,2702537
142608,1245954
142609,85269697
142610,63090433
142610,41581124
142611,42519299
142612,18269765
142613,91700412
142614,47105004
142615,68134075
142616,18609913
142617,87925254
142618,44381047
142619,97726263
142620,92986634
142621,92221317
142622,50401368
142623,57327900
142624,16255868
142625,34064206
142626,41848471
142627,32584443
142628,41216445
142629,5228
142630,57517000
142631,47249978
142632,61219080
142633,32886274
142634,48659398
142634,14538221
142635,59981912
142636,79711276
142637,22422145
142638,24389199
142639,50206251
142639,5512408
142640,5122550
142641,4701381
142642,52216991
142643,69940667
142644,36363826
142645,87588395
142646,79610862
142647,64459107
142648,96995867
142649,13028620
142650,6610441
142651,12210492
142651,16674323
"
",73255718
142652,65572144
142652,54392907
142653,23743304
142654,11666851
142655,82843401
142656,71905285
142657,53047583
142658,713713
142659,53856618
142660,72972596
142661,80870976
142662,76145537
142663,72775939
142664,45837079
142665,85495166
142666,41246171
142667,1810418
142668,41912777
142669,27289858
142670,96615850
142671,54961458
142672,25220773
142673,55866841
142674,79777934
142675,14579940
142676,80084044
142677,79153862
142678,34352372
142679,83240111
142680,70517675
142681,58390567
142682,66325930
142683,29009120
142683,41366350
142684,32506484
142685,59468918
142686,14681531
142687,37988697
142688,13492290
142689,47252055
142690,89604506
142691,95784056
142692,22518483
142693,74809541
142694,40546097
142695,53265570
142696,19863767
142697,34081724
142698,47117152
142699,97387454
142700,29584544
142701,81528982
142702,29590480
142703,68935490
142704,41197554
142705,2660235
142706,32313117
142707,73023895
142708,30167212
142709,14565299
142710,89920027
142711,54748399
142712,22791725
142713,57274017
142714,76101256
142715,88843681
142716,42991514
142717,86826954
142718,95892175
142719,10230261
142720,25140818
142721,27740076
142722,40213823
142723,52230565
142724,8449163
142725,77240889
142726,57188793
142727,4241530
142727,96373137
142728,53758491
142729,21365246
142730,46612179
142730,78011878
142731,51519627
142732,5132510
142733,20862021
142734,49786545
142735,94534589
142736,90412987
142737,30506601
142738,34197347
142739,27309961
142740,5187229
142741,90920884
142742,61830903
142743,85977253
142744,14445174
142745,728034
142746,93075717
142747,55610835
142748,40339558
142749,70251122
142750,92299260
142751,70376810
142752,28583939
142753,13149125
142754,33076192
142755,68804447
142756,21386479
142757,60171495
142758,64586834
142759,49313743
142760,18029854
142761,92170712
142762,81248981
142763,5479645
142764,3468563
142765,67491717
142766,7163853
142767,51241195
142768,31578853
142769,68665112
142770,23272428
142771,60958251
142772,25670739
142773,47884453
142774,57725560
142775,78523160
142776,71642378
142777,87143229
142778,83334845
142779,16084235
142780,88978674
142781,28673219
142782,28564861
142783,83807268
142784,40152271
142785,67936412
142786,51727309
142787,46462078
142788,32847983
142789,55243351
142790,24038208
142790,17454356
142791,92170144
142792,24685947
142793,31926395
142794,43248534
142795,81447510
142796,18210081
142797,91796834
142798,75772957
142799,56505664
142800,5199526
142801,31842316
142802,57632885
142803,36862788
142804,85661587
142805,90467006
142806,78653112
142807,63799673
142808,6253054
142809,35194455
142810,29625473
142811,45082760
142812,74714636
142812,51913376
142813,675038
142814,27973519
142815,6714942
142816,71344716
142817,47287951
142818,89497359
142819,56559874
142820,24800183
142821,60052205
142822,11009965
142823,86852854
142824,60198098
142824,85103011
142825,35128646
142826,89935674
142827,68922593
142828,21597923
142829,7127
142830,57695557
142831,19008041
142832,64537972
142833,54949017
142834,26257327
142835,58620308
142835,6016861
142836,44362721
142837,45364358
142837,82701265
142838,32079319
142839,34840217
142840,4258233
142841,598053
142842,93711153
142843,24316319
142844,23936535
142845,13617927
142846,59448139
142847,18882070
142848,86487492
142849,90880824
"
",73902410
142850,2225501
142851,29682867
142852,52684488
142853,51327928
142854,81280175
142855,98155978
142856,18311501
142857,92668054
142858,49734654
142859,81305020
142860,18416437
142861,77457961
142862,80295387
142863,80715977
142864,48563379
142865,83571654
142866,5257237
142867,93351175
142868,51577964
142869,57640897
142870,38069378
142871,84865517
142872,921609
142873,84338851
142873,25642057
142874,99000837
142875,28748537
142876,26014330
142877,10622218
142878,81015252
142879,88780849
142880,97991750
142881,31591794
142882,64798501
142883,25945884
142884,59540443
142885,84077560
142886,87994266
142887,8378234
142888,73399223
142889,71301595
142890,41764320
142891,7035121
142892,15995182
142893,95827852
142894,3390901
142895,85871324
142896,61128930
142897,2390299
142898,27567945
142899,47367597
142900,55625644
142901,86916460
142902,25364601
142903,33387490
142904,17133253
142905,75004161
142906,71760381
142907,99138810
142908,4733539
142909,58666663
142910,23700690
142911,37405870
142912,37122300
142913,60146330
142914,20073498
142915,43727708
142916,80191253
142917,15069452
142918,63012285
142919,72076539
142920,54786270
142921,28436150
142922,10740101
142923,97793528
142924,30019734
142925,69517537
142925,20714341
142926,18491092
142927,85958273
142928,15051734
142929,47952002
142930,90378091
142931,88201498
142932,33881170
142933,81780250
142934,7873701
142935,63721279
142936,27530738
142937,45068884
142938,17242815
142939,94091247
142940,10613392
142941,60489751
142942,44346444
142943,15583430
142944,97256010
142945,6954577
142946,26937754
142947,79866540
142948,45669060
142949,85971527
142950,69386618
142951,36174245
142952,64841017
142953,22246994
142954,93045573
142955,47020192
142956,75755213
142957,64062855
142958,20847713
142959,60021655
142960,61165955
142961,89806349
142962,80683676
142963,34434023
142964,54365469
142965,81585395
142965,6390317
142966,53278639
142967,22245277
142968,79425526
142969,85781908
142970,69333472
142971,11033924
142972,34164103
142973,37882193
142974,3470535
142975,93271815
142976,33534231
142977,28041015
142978,32467439
142979,2381621
142980,75134612
142981,2111189
142982,12974402
142983,9273431
142984,50511456
142985,34074524
142986,97176803
142987,84182301
142988,53678793
142989,6452759
142989,71338525
142990,69002643
142991,8204880
142992,92182491
142993,40811517
142994,2833836
142995,88898355
142996,92412750
142997,55113551
142997,18589311
142998,19068042
142999,71637016
143000,36354417
143001,58283000
143002,18437548
143003,71074780
143004,70683409
143005,11716342
143006,94242147
143006,67976702
143006,56541745
143007,87768990
143008,44551952
143009,69891746
143010,34843298
143011,62830200
143012,39178674
143013,22854189
143014,59849449
143015,92718089
143016,91780892
143017,48917435
143018,79076612
143019,51269234
143020,85092362
143021,20890180
143021,13796632
143021,32368053
143022,94368893
143023,35174963
143024,63058401
143025,17221039
143026,87499585
143027,55781197
143028,53021136
143029,75786552
143030,15278545
143031,88936935
143032,69117169
143033,55852587
143034,36633419
143035,79909443
143036,93520384
143037,94855764
Order ID,46476064
143038,31395116
143039,18527031
143040,8695686
143040,84393504
143041,56411411
143042,91322502
143043,312766
143044,71978521
143045,26734294
143046,56069943
143047,24377301
143048,82126786
143049,49530757
143050,98138282
143051,79393270
143052,85677622
143053,87334202
143054,38088128
143055,37120120
143056,88200639
143057,82658899
143058,16134235
143059,96129137
143060,96702254
143060,17307038
143061,97428296
143062,43050084
143062,79547474
143063,11708507
143064,52240868
143065,43312825
143065,82818446
143066,59928873
143067,6129924
143067,20501154
143068,73482058
143068,7991290
143069,54276570
143070,46551518
143071,83680437
143072,2708417
143073,35392509
143074,56389725
143074,40392325
143075,28061891
143076,64966396
143077,8914400
143078,93464018
143079,28134939
143080,9025613
143081,85100620
143082,96599918
143083,30670293
143084,6473055
143085,56002879
143086,57189720
143087,6992994
143088,35535136
143089,61114833
143090,33698788
143091,567911
143092,93271676
143093,26304104
143094,96644119
143095,27717707
143095,14379142
143096,94935487
143097,35519149
143098,70546126
143099,47384835
143100,61286556
143101,62611771
143102,10023382
143103,33040101
143104,38307946
143105,29310753
143106,57102583
143107,73250653
143108,7645800
143109,35274633
143110,31454575
143111,86747946
143111,19547187
143111,79452312
143112,1889648
143113,65137781
143114,74618379
143115,87546246
143116,31482648
143117,18470835
143118,75827867
143119,10139096
143120,20907169
143121,3394275
143122,18162366
143123,24328006
143124,49482333
143125,9548270
143126,71229861
143127,50174787
143128,26689907
